Score,Time,Summary,Text,Sentiment,AI_Sentiment_Score,AI_Sentiment
5,2012-08-09,We LOVE these!!!,"Our French Bulldog just adores these treats! We tried them after getting a free sample in the mail from Milk Bone. They are perfectly sized for her and she really loves the variety, although her favorite is the sweet potato. Only trouble is that these are really hard to find in stores; thank goodness for Amazon.com!",Positive,0.9712,Positive
2,2012-03-08,Not impressed,"I love chocolate, especially chocolate cereal, and was very excited to try this new product. I really like keeping chocolate cereal on hand to snack on when I want something sweet; it saves calories compared to eating a whole chocolate bar (as long as you don't overdo the serving size!).<br /><br />As a cereal, as the product was intended to be consumed, it wasn't very chocolatey. It reminded me more of the amount of sweetness you'd get from dark chocolate rather than something as sweet as Cocoa Puffs or other chocolate cereals. For some people, this might be appealing; however, for people with an intense sweet tooth, this might not satisfy you. I didn't really have the problem of it getting soggy like other reviewers mentioned, but I eat fast, so maybe I just never let it sit long enough to get to that point.<br /><br />As a snack, I was even less satisfied. I could taste the dry cocoa powder more than I could taste chocolate flavor. It definitely is best as a cereal (again, I realize that's what it was intended for, but so many cereals are great snacks too) because the milk takes away some of that powder-y texture and flavor.<br /><br />I give it 2 stars because it wasn't horrible, but it's not something I would buy again or recommend to others.",Negative,0.9903,Positive
5,2011-11-28,Delicious!,I recently bought a Keurig but all of the ciders I found for it had an artificial after taste. I bought this for my holiday company and we just used the Keuring machine without a kcup.  It was so delicious that 2 of my guest had to know where I bought it.  I got the 6 pack of cans and have already gone through 2 of them in just a week! This is the best cider ever!,Positive,0.9615,Positive
5,2011-01-14,good fish food,I've alway used this stuff to feed my fish in my 10 gallon tropical/temperate aquarium. They work fine with tropical fish. I strongly reccomend for beggining aquariasts.,Positive,0.4404,Positive
1,2012-09-10,Vomitous,"If I could give less than 1 star I would. These vile ""noodles"" are disgusting in every way. If you can get these vile things down and keep them down then you should be on tv with Andrew Zimmern on Bizarre Foods.",Negative,-0.9313,Negative
4,2012-02-12,Pretty Sweet,"My picky cat loves the grass!! I put them next to a south facing window in the apartment and they have been growing well, even during the winter. The grains that do grow are pretty hearty. Just don't expect more than 60% of the seed to grow.<br /><br />Also, The cat loves them so much he jumped up on the window sill to get to them and knocked the pot to the floor in order to get to them better. So if you cat is very inquisitive I suggest placing them in a location that is hard to reach. I found out the hard way.",Positive,0.953,Positive
5,2011-04-29,MY KIND OF COOKIE!,"I'm a long-time fan of Fig Newtons. So I saw these Fruit Thins and just had to try today's offering from our favorite cookie monster - maker, I mean.<br />  Newtons Fruit Thins do not disappoint! The dried cranberries are tasty, chewy and plentiful. Then there's the citrus tang over a bed of oatmeal. Hmmm mmm! Perfect to grab and munch on the go, as I do - or to dip in a hot beverage like tea and savor slowly - my wife's preference.<br />  Looking over the ingredients, there is no corn syrup, a plus (although there is sugar in the recipe), and no mouthful of unpronounceable chemicals.<br />  For those who aren't fig fans, you'll want to try these. The cranberries are a flavorful alternative.<br />  I'd say these are as close to health food as anything that tastes this good can get.",Positive,0.9276,Positive
3,2011-05-25,"Good product, terrible price!","Amazon is selling this product for 20 cents more than my local Whole Foods Market, which is a super-premium-priced health food store. And you have to buy six at a time to get Amazon's inflated price. Such a deal!!!",Neutral,0.3769,Positive
3,2011-12-28,SOY??? WHY?,"Maybe I didn't read the ingredient list thoroughly, because I was not expecting to find SOY in my tea!! What a disappointment! I called Stash to find out if the soy was GMO, and...the woman in customer service guarenteed me the suppliers sell them non-GMO soy. If this is the case, they really should label it as such. I like the flavor though, it's very soothing and gentle on the tummy (hence the three stars). The only way I will order again is if they start labeling the soy as non-GMO, i can't trust the product without a label!<br /><br />PS: after reading ingredient list again, I found NO mention of soy...",Neutral,-0.4303,Negative
5,2012-04-28,viperron,"I've been using this product for about 2 years to treat skipped heart beats which I have suffered with for about 4 decades with zero help from the medical community. It has been one of the only supplements I've tried in that same period that has lived up to it's promises. I also have had problems with constipation for most of my life ( I'm sure it's because of my terrible diet which includes lots of sugar) and it also totally solved that problem. I would like you to know that I own no stock in the company, I do not know anyone in the company,I do not sell this product, and I do not have a dog in the fight however I would hate to think that I could no longer be able to get this product. After using several different types of magnesium I proclaim this to be the very best with no one in close 2nd place. I will tell you it takes a small amount of effort to figure out how much your body needs, I usually take about a teaspoonfull a day mixed in a bottle of plain water and I drink it though out the day and I do this about 3 times a day. This product has litterally changed my life and I think I could write a small book about it. I've told numerous people about it and it's a shame there are so many scams in the world that we as a people are so sceptical and that when a great product comes along we sometimes ignore it..",Positive,-0.9122,Negative
5,2011-01-19,My nieces love this stuff,"I buy this on Amazon when it's on sale for my 2 nieces - they love it. I've been known to sneak a few cartons for myself every once in a while which I like to put on cereal as well. It's very practical - it doesn't have to be refrigerated until opened, doesn't expire as fast as regular milk, it has a lot of vitamins and calcium, it's organic, low fat and sweet. It has a nice light vanilla flavor - not too strong.",Positive,0.8885,Positive
4,2009-06-24,Big Nut Bar,"Planters Big Nut Bars, Roasted Triple Nut, 8.1-Ounce Boxes (Pack of 10); There are five (5) bars per individual box so fifty bars total. If you like nuts, you will like these. I liked them. There is 7 grams of protein and 6 grams of carbs. They are a fast food for on the run when not able to set down and eat right. They could also be a good lunch box snack. They have a flavor of those candy bars that were nuts around the corn syrup center (I can not think of the name.) These are a little more healthy.<br /><br />I would recommend these just to have on your shelf for emergencies.",Positive,0.8225,Positive
5,2012-05-17,Fair Prices,I have been a fan of Zapps Potato Chips since I was introduced to them in La. a number of years ago. Great to be able to receive popular flavors via USPS. Lizzard Books handled my transaction without issue. I will buy from them again in the future.,Positive,0.8591,Positive
5,2012-09-08,What can I say???,First of all it's quite a challenge to do a review for water---for Pete's sake.  LOL<br />I received a 50.72 ounce of drinking water to review for Amazon.  I refrigerated it since I prefer to drink my water cold and then also pour it over ice.  What can I tell you?  I don't think it's my imagination when I tell you that it does taste smooth.  It is refreshing and even though I am not a big water drinker I would choose this product again if I had a chance to buy it.<br />Therefore I give it a recommend to buy.,Positive,0.6997,Positive
4,2012-08-18,Cappacino,"An excellent product. Too bad it's not readily available in the stores. Walmart used to carry it, but I'm told the Grove Square rep is not responsive. Seems foolish to me.",Positive,-0.0885,Negative
1,2011-06-06,"too rich for my dog, gave her black poo",I found this food to be too rich for my 25 lb cockapoo.  It gave her really black tarry poop which im guessing is because the food is high in Iron.  I just didnt feel comfortable with the color of her stool.  It returned to normal as soon as I stopped giving it to her.  I think the liver content is too high for an every day food.  It might be ok to give 1-2 times a month but thats it.  I even mixed the food with fresh veggies.  It didnt work for us.,Negative,0.6427,Positive
5,2011-10-01,Great Stuff,"I come from a tropical country, Malaysia, so I know how coconut water straight from the tree tastes. I missed the taste ever since coming Stateside 6 years ago, and so I bought a 6 pack of Zico.<br /><br />I gotta say, it's the closest thing to fresh coconut water I've tasted thus far. I heard that the liter bottles are from Thailand, while their Tetra bottles are from Brazil. Glad I bought the liter ones.<br /><br />In fact, right after writing this review, I'll be buying a dozen bottles.<br /><br />As for some people's comments on packaging issues, it says on the cardboard box NOT to lift the bottles by the cap. All six of mine came in perfect shape.",Positive,0.8271,Positive
5,2011-03-20,Going to sleep today with some Blues away,"I was hesitate to buy this product, just from my previous experience with another tea from Yogi. After days of not gettting enough rest and was under alot of stress, I decided to give it a try. The taste is not bad. I can taste the licorice very little. The last 2 nights<br />I have drinked this and I have slept like a baby. In fact got 7hrs of sleep last night and could have slept longer.",Positive,0.1154,Positive
5,2011-10-23,The best...,"I have an extremely healthy diet and few years ago I used to consume brown rice heavily but no longer since I discovered quinoa. This is what vegans consume instead of beef. It has all nine amino acids, organic, whole grain which is very fulfilling, vitamins, minerals, and all... Obviously it can not compete with the amino acids of the organic yoghurt that I make myself and consume but an extremely healthy product in my diet list. Cooks in five minutes then I add different dishes that I have cooked with olive oil like eggplant, onion, okra, organic beef, smoked hearings, etc. on the top and enjoy my dinner... Bob's Red Mill has the best since I never ever have to wash and rinse before cooking. I know many people do rinse but I never saw the need for it since it comes clean and that is why Bob charges more. Others claim that their quinoa is clean but it is not true. I keep the unused portion in a zip lock freezer bag in the freezer and take what I need on weekly basis. I consume so much that I never have to worry about it going rancid and unlike brown rice which looses its oil in six months and has starch and goes rancid, quinoa will go for years. Obviously I never ever do that with any food since I only purchase what I need in order to get the nutrients which a healthy diet is all about. It is great with salads as well and is gluten free. I fix very hot and spicy dishes which go great with quinoa. Bravo.",Positive,0.9893,Positive
5,2010-11-09,fanfreakingtastic,I bought these to give away for Halloween and had over a hundred left so I tried some and they are fantastic. I never knew how good suckers could be. Buy some and you'll be satisfied. Organic in candy means it tastes cleaner. P.O. Thompson,Positive,0.3387,Positive
1,2011-12-07,2 bags rancid! calling company today!,"UPDATED APRIL 2012: I'm returning 6 more pouches of PureBites Chicken today, after first calling the company for instructions. The same rep (female) who responded to my complaint in  Dec 2011 took my call today, but not knowing I had called before, she kept insisting there has never been a complaint about rancid bits before. I told her I called in Dec and she said ""someone else likely helped you"". Not wanting to argue, I moved on, but she clearly lied to me so I thought I should update about this. I was asked to include a note this time, to say where purchased but that has nothing to do with the fact that the company thinks it's ""acceptable"" that some fat is getting thru via processing. Fat cannot be freeze-dried so it will turn rancid even if freeze dried - read my original review and see how this was answered the 1st time I called last year...Very disappointing that the company doesn't care to hold the processing plant's feet to the fire about fat getting in, but then to lie to a customer is not good. But they will honor their satisfaction guarantee! So the only way to get this issue resolved is for all of us to get refunds. All you need to do is send the proof of purchase and your invoice to the address on the bag, along with your name & address. I find that about half of the bags are rancid. Dogs don't care, but cats won't eat rancid anything so very expensive if issue is ignored. Pls help make this company fix this issue by sending proofs in and forcing them to refund. Companies ignore issues until their wallets get hit. I hate to do this, but my cats beg for these and I'm going broke replacing rancid bags!<br /><br />ORIGINAL REVIEW: I bought two 6.2 oz bags of PureBites Chicken for dogs, first trying out a small cat size pouch found at PetSmart, and then moved up to the dog-sized bags/chunks, which I crumble with my fingers to get them smaller for my cats, who love this product BUT both of these bags purchased on Amazon had rancid chunks that smushed into slimy/greasy mush when I crumbled them.<br /><br />The company admits this happens, said it's part of the processing, nothing can be done, but it's not acceptable, and they will refund once I send proof of purchases & invoice to them.<br /><br />So it's hit or miss, and the company agrees...so just an FYI to warn others to check their bags!<br /><br />For those feeding this to dogs, and not breaking up the chunks like I do, please take note of this and check on the chunks before feeding. You can also detect a faint rancid odor if there are rancid bits in your bags.<br /><br />The reason for the rancid chunks, according to the company is that pieces of fatty chicken do get in, and fat doesn't freeze-dry, so without preservatives, it will go rancid. I knew that, but had hoped they could offer a promise to correct this; they can't and have no intention to do so. So I'll keep buying and hoping I get good bags, but will certainly take the time to get refunded whenever this occurs.<br /><br />The product is excellent when you get a good bag..just check each piece before feeding, or if you have a good nose for rancid odors, take a whiff and you'll smell the slight rancid odor, and can return the product.",Negative,-0.9944,Negative
5,2012-01-06,Crack has NOTHING on this stuff!!!,The candy is surprisingly soft and almost melts in your mouth. Then you get the little surprise of the burst of sea salt. You have to try it to believe it. Thank God it isn't easily available to me; I'd be more broke and weigh a ton.,Positive,0.3565,Positive
5,2010-11-09,Wonderful Flavor Worth the Price!,I purchased this item based on all of the reviews on Amazon. I was not disappointed. The items arrived quick and in very good condition. I use the oil everyday in my cooking. I now find a reason to use olive oil in all of my cooking. It tastes that good. I like it so much that I signed up for a subscription to have the Zoe Olive Oil delivered every couple of months.,Positive,0.903,Positive
5,2012-01-15,DELICIOSO,"Es un delicioso aceite de oliva, hoy lo recib&iacute; y ya lo he probado. Me sorprendi&oacute; el delicioso aroma y el sabor excelente que tiene. Muy recomendado",Positive,0.0,Neutral
5,2012-09-07,Spice Lab Himalayan Salt; tastes good. Easy to open and close bag.,This Spice Lab Himalayan Salt tastes good. It is easy to open and close bag over and over.<br />It has the red-pinkish color like in the picture for it. I have not had a problem with the salt clumping together.,Positive,0.8611,Positive
5,2012-04-05,Great Coffee (from a non-coffee drinker)!,"I'll admit outright that I don't normally like coffee.  I'm a big drinker of hot tea though (and that's usually what I drink).  The only coffee I've ever had seemed terrible to me (then again, cheap crappy coffee probably really is terrible).  I wouldn't have normally ordered this, but the description sounded so nice and tasty that I decided to give it a try.  I went in not expecting to like it much though.<br /><br />So, I pulled out my boyfriend's tiny coffee pot to brew up some of this coffee.  The first thing that struck me as nice was that each packet of coffee is individually sealed, and each packet is contained in its own little filter (which is very convenient).  When I first brewed up a batch, I accidentally brewed it too weak (I made about 4 cups when the directions say to only make 1 cup).  I liked it a lot anyway; it reminded me of my favorite blend of carob tea.  To be fair to the coffee, though, I decided to brew it again following the directions properly.  It came out stronger (and I didn't enjoy the coffee bitterness as much) but it was still good.  I was able to drink it with only sugar and no creamer to dilute it's flavor.  I must say that in my limited experience, this is the best coffee I've ever tasted, but I think that I much prefer a light brew coffee.<br /><br />So, this is a great coffee for people who don't normally drink coffee.  Would a coffee lover actually enjoy it?  Well, if you like a really strong bitter coffee, then you really wouldn't care for this.  If you like a light or medium strength coffee, then you'll really love this one.  If you are just starting out with coffee drinking, this would be a good one to try out to ease you into it.  I liked it well enough that I'd even consider drinking it regularly along with my tea!  So, if any of this sounds appealing to you, go ahead and give it a try!",Positive,0.9906,Positive
5,2006-07-26,Best in baking,"They are good in cereal (Bob's Red Mill Muesli for instance) but are best in baking. I put half a cup or a cup in Hodgson Mill Whole Wheat Gingerbread Mix and the result is outstanding. Try the dates, fig pieces and dried apple pieces (all from Bob's) in the gingerbread too. Absolutely wonderful and it keeps for days.<br /><br />For snacking, whole pitted dates are much tastier.",Positive,0.9672,Positive
5,2012-07-24,Love these bags,"I have used the madela, lasinoh, and honeysuckle bags..and the honeysuckle bags are my favorite. They seem thicker and sturdier.  It is easier to squeeze excess air out of them.  and they freeze flat, saving space.  I will purchase these again.",Positive,0.7184,Positive
5,2010-08-21,Best Combination of Flavor and Value,"I've had a Tassimo machine (not the same one) for nearly four years now, and have tried most if not all of the discs available through Amazon.  While I haven't been thrilled with any of the other Maxwell House discs particularly (I like a strong cup of coffee, but there are a wide variety of preferences on this issue), I've been very, very pleased with the French Roast.  It gives a strong but smooth brew and you can't beat the price--at the time I'm writing this you can get 2 packs of 16 discs of the MH French Roast for under $14, compared to 2 packs of 12 discs for more than $20 for the Starbucks blends.  I still buy Starbucks, particularly the Africa Kitamu, and Seattle's Best, particularly Henry's Blend, because I like variety in my cup of Joe, but MH's French Roast is great choice, especially if you have multiple coffee drinkers in the house and need to keep plenty of discs on hand while still keeping within your food budget!",Positive,0.9883,Positive
5,2012-01-09,"Very healthy, satisfying","As most write on Ezekiel, you need to develop a palette for unprocessed foods to enjoy it. I would describe this cereal as tasting like Grapenuts but the granules are smaller so doesn't hurt your teeth. I usually eat with vanilla almond milk, a little Stevia sweetener and a sliced banana for breakfast, or I sprinkle over yogurt. Often I add a tablespoon of organic oat bran to either. Highly recommend.",Positive,0.8915,Positive
5,2009-03-22,Good Stuff,"5-Hour Energy Berry 12 bttls I am 100% satisfied with this product. I drink a cup of coffee before going to bed and I sleep like a baby. I can even drink Red Bull with the same results, There's an energy drink called Cocaine and it does work yet it's not as convient as 5-hour energy. I keep it in my car, my desk and purse. Whenever I start to nod. I just grab a bottle and within minutes I'm good to go 5 hours or longer. My sister called from Florida asking for the name of this enery drink for her husband He now travels with it too.",Positive,0.91,Positive
2,2012-09-12,Turmeric was over a year old,"The bag I received in September of 2012 was packed in April 2011, and is marked best before 24 months. So sixteen out of the 24 months have already elapsed. The amount is certainly generous, and the price is very low.",Negative,0.818,Positive
3,2011-12-13,Healthy but boring,"I bought these to avoid the artificial sweeteners normally in gum. That's good and the flavor is ok initially, but I guess I'm so used to normal tasting gum that I couldn't get into it. It lost it's ""flavor"" about 5 minutes into chewing and then it was just a chewing blob. I bought the pack of 12 but only really used 1 pack and tossed the rest after it sat for months. I could see the benefit if you're introducing your child to gum and they have no prior taste from other gum. Personally, not my cup of tea!",Neutral,0.126,Positive
5,2009-09-06,100 calorie Cakesters,"These 100 calorie Cakesters are delicious!  Both the vanilla<br />and the chocolate are great, they satisfy those little ""sweet""<br />cravings and its only 100 calories for three little cakes!",Positive,0.9078,Positive
5,2012-01-12,The ingredients say it all!,"Sarsaparilla, cinnamon, ginger, licorice, burdock, dandelion, cardamom, cloves and that's just half the list. I just recently got in touch with preventative herbal ideology and decided to get cloves, dandelion and ginger. Then I found this tea, and knew I had to order it. I'm not a picky eater, so I'm not the best person to ask about the taste, I say most things taste good. But I can testify to the efficacy of many of the ingredients listed here. If you like some of the other Yogi teas, you'll probably like this one to. It does have a kick to it (have you ever had fresh ginger?), but I like it, and I will continue to order it because it helps me relax and feel good.",Positive,0.9765,Positive
5,2011-03-06,dark but not burnt,"This is good stuff. Powerful, dense, a little syrupy feel.  I save it for weekends when there's time to enjoy it.",Positive,0.8965,Positive
2,2011-08-04,Too easy,"This toy provided very little mental stimulation to my dog.  The treat is so exposed and extremely easy to eat off, and the bone so hard and ball so heavy he wanted nothing to do with it after the treat was gone.  We have a heavy chewer, but unless you have a small dog with a small light bite that takes time eating it, I just can't imagine it would be worth the price of buying their own hides to attach.  I would suggest a nylabone first to make sure your dog is interested in chewing on the bone part even when there isn't treats attached.",Negative,0.871,Positive
5,2012-08-03,Helped with illness and recovery!,"I rescued a 3 year old Doberman Lily a few months ago who was not in the best of health, and after getting a checkup at the Vet, I found out that she has heartworms.  After all the shots she just received, she had to go through a lengthy treatment with more medications than I would ever want to give my dog, but I had no choice.  I was determined to get her healthy again, and knew that good nutrition would be especially important during this time of illness and treatment.  Lily received Olewo Carrots and Red Beets with her daily meals, and while the carrots improved her digestive health, I feel it was the Olewo Red Beets which played an important role in her recovery.  The red beets are a great natural detoxifier and helped get rid of the toxins in her system from all the medications. It also helped strengthen her immune system.  At the very beginning of her treatment she was sleeping most of the time, but after adding the red beets to her diet, she had more energy and was more active.  Lily is doing well now and will continue to receive Olewo to make sure she remains in good health.",Positive,0.9935,Positive
5,2012-09-18,The Best Curry Around!,Patak's makes the best curry around. I frequently use it in my Yellow Chicken Curry Dish which is a favorite with both my husband and seven year old.,Positive,0.802,Positive
5,2007-05-12,Great dog food and EXCELLENT SERVICE!!!!!!,The Cesar Filet Mignon is a terrific dog food either by itself for small dogs or an extra added treat mixed in with food for the larger dog. My two Shih Tzus won't eat anything else and my two Silky Terriers loce it mixed in with their Pedigree Lean Liver and Beef. Cesar Filet Mignon is truly a GREAT dog food!!!,Positive,0.9372,Positive
5,2012-03-26,Tastey and healthy,"A friend bought a package of these as a healthy snack and I have enjoyed them ever since.  A healthy alternative to other ""chips"" or dried fruit.  I take a small sack with me while cycling or walking the dog for a healthy snack.  The grandchildren like them as much as grandpa does.  Highly recommended!",Positive,0.9551,Positive
5,2006-06-14,Dutch Gold Buckwheat Honey is great,"I have been using this product for several years.  At first, people think it's too strong, but once used to it, other honeys seem almost tasteless.  Besides  the robust flavor, buckwheat honey is rated by nutritionists as having the most nutrients.",Positive,0.6428,Positive
5,2012-04-16,Thank God I found this food!,"We have 2 cats, one of which started having stomach issues about a month after she traveled eight hours and moved into our house. We thought it might be the stress of the drive, the change to a new habitat and a new cat friend. She was throwing up frequently and also having issues on the other end - I won't get into the gross details. A trip to the vet got her some antibiotics that helped for a short time, but she was back to being miserable, and obviously uncomfortable with using her litter box, not two weeks after seeing the vet. Since we found this food and transitioned her on to it, she hasn't thrown up. Her other issues have cleared up too and she is feeling healthy and happy again. So I'll say it again: thank goodness for this food!!!",Positive,0.8892,Positive
5,2010-12-18,Van Houtee Creme Brulee coffee is a winner for a cold pick-me-up,"I've been trying to duplicate Baskin Robbins Capuccino Blasts for years. So I have come close using this Keurig coffee cup, then add a little artificial sweetener, a tablespoon of Hillsbrothers English toffee mix and a little heavy whipping cream. Once the coffee is brewed I mixe everything together and let it cool off and then stick the freezer safe glass in the freezer for an hour or so until the mixture is almost frozen. Then add some crushed ice and have a delicious cold drink. I am not fond of hot coffee, but love this refreshing drink when I need a pick me up.",Positive,0.8461,Positive
2,2011-08-01,self and kids just did not like taste,I wanted to like it... but I and the kids did not like. I am not sure what it was... nobody seemed to like the taste,Negative,0.701,Positive
5,2009-11-23,This is delicious coffee!,"I've never been a fan of Gevalia, in all honesty. I've always found it to be rather weak and not worth the price. But the flavor of this one sounded intriguing, so I tried it. It's wonderful! Smooth, deep and dark without being bitter, and the chocolate undertones are deliciously rich. It's an excellent dessert coffee, and also serves quite well as ""dessert"" on its own, for those who decide to skip the actual desserts after dinner.<br /><br />I can't wait to add this coffee to my family's Thanksgiving menu. Update: This coffee got rave reviews after Thanksgiving dinner. Normally my family argues over the coffee... too strong, too weak etc. But today everyone couldn't stop saying ""this coffee is REALLY good!"" Can't recommend it highly enough.",Positive,0.9696,Positive
4,2012-08-05,Awesome!,These quick cheesecake mixes are amazing. My favorite is the chocolate cream pie cheesecake. Very good. Make sure to get these. You will love them.,Positive,0.9498,Positive
3,2012-08-16,"My Rat Terrier loved these, but my cats wouldn't touch them.","I got the chicken flavor and my Rat Terrier loved these, but my cats wouldn't touch them.  They just sat in the cat dish until I had to throw them out. Since I got this because it was supposed to appeal equally to cats and dogs, I'll probably keep hunting for something else.",Neutral,0.3506,Positive
5,2012-07-22,Love these candies from childhood!,"Love that I can find these on Amazon. They are sweet, sour and fizzy and are my go to candies when craving something sweet!  Can't beat the price on Amazon as well- Glad Zotz is still around!",Positive,0.9537,Positive
4,2009-12-08,Loved it!,I bought this for my husband's birthday.  He is a sweet freak.  He loved it.  He enjoyed remembering as he ate each piece of old fashioned candy!,Positive,0.8221,Positive
4,2012-08-14,Most delicious healthy alternative to a brownie,"I can't believe the couple of negative reviews!  Of course I would go for a juicy brownie or a cheesecake instead if I didn't care about the calories, sugar etc.  But for a healthy snack, this is very good.  I ate it in the car and had no problems with crumbles; just open your mouth and stop eating like a fish.  Take a couple of good bites and be done with it.  Besides, eating with a glass of milk would be even better.",Positive,0.8484,Positive
4,2011-01-25,Yummy!,"I've found this item at my local grocery store and the bars are always fresh and very tasty. If the price was cheaper, would give it 5 stars.",Positive,0.3182,Positive
5,2012-02-25,yummy it tastes better than peanut butter,"came fast and what i otdered, i am very satisfied with my order .i would order this again. it tastes really very good.",Positive,0.7625,Positive
1,2009-07-10,I don't believe these were authentic Greenie's pill pockets!,"The Greenie's pill pockets I purchased through Amazon are NOT like the bags I've been buying from my local store and veterinarians.  This bag contained product that was slippery, crumbly and they are not pliable like original Greenie's!  The texture of these pockets is totally different from original Greenie's PP and they could NOT be squeezed around a pill - the product breaks apart.  I know the difference because I've been using real Greenie's for month's to hide medicine from my 13 year old dog.  I will NOT purchase this product from Amazon again as I believe they are are knockoffs.  Who knows what's in them, and with recent information about poisonings I'm not taking a chance with MY dogs! I'll pay the extra dollar and get them from my local vet.",Negative,-0.8902,Negative
5,2011-03-17,Awesome gluten free cookie mix,This cookie mix is awesome! Everyone loved them and I couldn't get them to last more than one day before they were all gone:) I will definitely be buying more.,Positive,0.8999,Positive
4,2012-08-05,Good For Hiking,"Heard about these from a triathlete who said that they worked fast.  An avid hiker, I have used other energy gels with limited success.  Taken about 15 minutes before an uphill climb, they provide the extra boost you need.  The chews have a great texture and taste like gummi bear candy.  Highly recommended.",Positive,0.9476,Positive
